评论ID,评论内容
1,我陪你种地，陪你下矿，陪你打怪，陪你养鸡，陪你钓鱼，陪你酿酒，陪你去沙漠，陪你进赌场，开小号去你档里打工。你还不明白吗？我是真的喜欢玩星露谷。
2,"我亲爱的去世了四年半的爷爷

人生不像星露谷，人和人之间看不到的友谊不是简简单单送礼物就可以，信箱里也没有老乡的嘘寒问暖，付出了努力不一定有回报，即使工作到凌晨两点也没有人来接我回家，喜欢的人更像是遥远的星星。在不想动的时候也不可以在家呆一天。

爷爷我的人生不在星露谷，而在Joja公司"
3,"妈妈，人生要真是星露谷就好了。
随时可以到达的海边，打开信箱就有村民嘘寒问暖的信件，送出礼物就能获得的友谊,付出努力就一定会有收获，失败了也只是掉东西，永远有人愿意回应我，永远有再来的机会，就算什么也不干每天躺在床上评定等级的时候，爷爷也只是希望你远离世俗开开心心。
妈妈，人生要真是星露谷就好了。我不喜欢各种各样的考试，我不喜欢这样活着，每天都像个陀螺一样不停运转。
我想有很多很多朋友，想有疼爱我的长辈，想要美好的爱情。
种下去就能长出来的菜，放进小桶就能酿出的酒；下雨也可以去海滩钓一整天的鱼；砍树也是充实的一天。

妈妈，人生要是星露谷就好了。
当我重新进入游戏，我有绝对的权力掌握自己的人生，我可以开很多副本，像梦一般玩转我的人生，无限延长我的生命。

可是妈妈，人生从来都不是星露谷。

我不会随时随地看见大海。现代人微信上更多是敷衍的信息。爷爷什么也没有留给我，没有郁金香也没有啤酒花。魔法师不会告诉我发财暴富的咒语，我更不是拿着银河剑披荆斩棘的勇士。家里没有菜谱，只有洗不干净的锅碗瓢盆。可爱的小猫不属于我，同性情侣也无法像游戏中一样结婚生子。土地是公家的，金子和钻石都很贵，房价很高，我一样也买不起。

我像大多数人一样，相信读书改变命运，然后麻木不仁地坐在电脑前写论文找工作，天亮浑浑噩噩地上班。

世界是矛盾且复杂的，我不再追求那些虚幻的童话结局。渐渐的，我愿意接受生活的苦涩，因为人总得活下去。在这苦涩之中，我逐渐找到了真实的自己。不需要绝对的权力，也不需要开很多副本，只需要勇敢地面对每一个日出日落，真诚地对待每一份情感，成为一个渺小而又坚韧的存在。"
4,"妈妈，人生要真是星露谷就好了...
随时可以到达的海边，送出礼物就能获得的友谊，付出努力就一定会有收获，失败了也只是掉东西，永远有再来的机会。而且就算什么也不干每天躺在床上，评定等级的时候爷爷也只是希望你开心。
星露谷就像个小小的世外桃源，我躲进去好像就不用面对生活的那些困难了，但我也知道，我不可能呆在桃源一辈子。"
5,"妈妈，人生要真是星露谷就好了...
随时可以到达的海边，送出礼物就能获得的友谊，付出努力就一定会有收获，失败了也只是掉东西，永远有再来的机会。而且就算什么也不干每天躺在床上，评定等级的时候爷爷也只是希望你开心。
星露谷就像个小小的世外桃源，我躲进去好像就不用面对生活的那些困难了，但我也知道，我不可能呆在桃源一辈子。"
6,"[h3]妈妈，人生要是星露谷就好了！[/h3]
[b]*送出的礼物会收获双向奔赴的友谊，好像人与人之间的交际也不再那么复杂[/b]
[b]*所有的付出都会有回响，每一份努力都不再被辜负[/b]
[b]*我对明天有着无尽的期待，我对未来有着汹涌的澎湃[/b]
[h3]妈妈……人生要是星露谷就好了[/h3]
[b]*春风会带来所有的生气，夏雨会滋养每寸的欢喜[/b]
[b]*田垄里拔节生长的藤苗，藤架上浸着甜意的瓜果[/b]
[b]*秋霜会染透满仓的惊喜，稻穗垂着沉甸甸的期许[/b]
[b]*枝头缀满红果与黄梨，每滴汗水都凝成收获的种子[/b]
[b]*冬雪会裹着安宁栖息。围炉听风、饲弄家禽，积攒的力气藏进泥土里，等来年再赴一场万物复苏的约。[/b]
[h3]妈妈，这样的四季多像星露谷呀，每段时光都有专属的馈赠，所有等待都不会被浪费[/h3]
[h1]可是妈妈，人生真能像星露谷一样吗……[/h1]"
7,"一个月前在抖音刷到一个星露谷视频，思绪万千，视频标题是故地重游就像刻舟求剑，讲的是博主参观一年前和前女友一起搭建的农场，从农场到鹈鹕镇角角落落，在每一处细节中回忆和她的点点滴滴，在视频讲述的文字中感受到博主其实还爱着她，可回忆会惩罚念旧的人，两个人的回忆只留下一人独守，这个视频我反复看了好多遍，每次看都会被那一句句包含着爱与不舍的文字打动至流泪。
我第一次听说到星露谷这个游戏是她和我提的，后面在了解后买下了星露谷，告诉她后，她上来告诉不允许我看攻略，然后带我去她之前的农场参观，向我介绍这是她的牛，这是她的鸡；带我逛澡堂，逛矿洞，请我喝她刚捡的可乐，带着对星露谷的陌生，我们玩了一个新档，她带我砍树，一起捡垃圾，她时不时看我是不是在偷懒，又嘲笑我像呆子一样把浇过水的地又浇一遍，指责我没有到两点前干到最后一刻，于是我带着她给我的经验开始了自己的新档，故事在此开始了新的篇章。暑假来了，我们互相分享着各自农场的点滴，我有不懂的升级就问她。有一天她说我们来个农场大比拼，于是我们约定好在第三年冬最后一天互相参观农场，夹杂着对她的感情，我对星露谷好像犯了瘾，暑假经常早上一醒来想到我们的约定就打开星露谷。我在农场里兢兢业业时，右下角steam会弹出她正在玩星露谷的消息，此时我们好像在同一时间，即使相隔南北，却感觉好似就在一起做着同样的事情。于是我精心挖矿耕耘，造桶酿酒，开出和编织的每一件衣服和帽子都没有丢，我告诉她等你来了我的农场让你看看我的衣柜，可时间就是很快，我超越她更早地到了第三年冬，我告诉她：没事我等你，你慢慢玩，等你布置完了我们再互相参观，于是带着对她的期许，我布置农场，设计细节，迫切想向她展示我的成果：采石场陈列遍布的小桶，农场规整有序的鱼塘牧场，箱子里是钓的各式各样的鱼和鱼王，想象着她到我农场时我和她一一讲述每一处我的细节和心思。
可或许时间从来不是回忆的对手，人就是对时间毫无还手之力，我们的关系只维系了很短很短，短到可以忽视，可如此短的回忆带来的是长久的念想。我们还没有互相参观各自的农场，我们已经没有了steam好友，也没有了所有联系方式，我从最开始没有心气打开那个档，到后来隔一段时间打开望着自己的农场和为她建的联机小屋发呆，呆望着屏幕里的联机小屋不知所措，我时常会想她还记得我们的约定吗，或许这个问题本身不重要，真的就像刻舟求剑，我们想一次次返回某个节点，想找寻曾经失去的东西，却只能在船边徘徊，我时常会想她有没有在玩星露谷了，玩的时候会不会在某一时刻想起我，哪怕一刻已经足够。回忆承载着过去，她最喜欢的npc是塞巴斯蒂安，在暑假买了塞巴斯蒂安的钥匙扣在开学后亲手送给了她，不知道她还有没有留着，也或许已经丢进垃圾桶。想到曾经的点滴和我们共同的经历，就想到那句话：物是人非事事休，欲语泪先流。
游戏不仅在于它本身，在于游戏里的回忆和带给我之外的东西，星露谷带给我的不仅是沙盒游戏的休闲快乐，也是于我而言感情回忆的载体，我时刻恍惚，原来生命中的美好瞬间真实存在过，但我却对失去的一切无能为力。想到人其实很少在离别时认真表达自己内心的不舍，只在离别后后悔离别的仓促，在看似淡漠中愧疚，后悔没有说出那句舍不得你。人纯粹的感情难能可贵，每次想到星露谷，就想到自己那段纯粹的感情，唏嘘关系的离散，原来在我漫长的一生中，只是和一些人只是浅浅交汇。梧桐虽立其心已空，待发于春实葬于冬可能成了这段回忆后我最真实的写照，自己可能已经死在了去年的盛夏，只能刻舟求剑，感叹着人与人缘分的寡淡，一遍又一遍地回忆着过去那段平淡又热烈的感情，于是此情可待成追忆。我可以一遍遍踏入那个农场，可故事却不一样了，就像我可以回到过去，可那里已经没有人了......"
8,"我一直听说它很好玩，但是一直没有玩。因为各种各样的理由。我玩过很多其他类别的休闲种田游戏，以为不会遇到新的游戏体验了，但是星露谷依然给我带来了极其深刻的新鲜感和幸福感。
星露谷的日子总是具体而清晰，我数着日子种地和期待下一个季节。农场日益繁荣，箱子和酒桶越来越多。我们逐渐完成社区收集包，修好巴士、断桥和社区中心。矿洞总有新体验，慢慢的熟悉了鹈鹕镇的布局和居民的喜好。后来试图改变农场布局，也会为了图鉴搜攻略。某一天我开始用起模组偷懒，后来又看起星露谷的同人文，爱上了赛巴斯和黑色冬根。
实际上最开心的瞬间是好友降临在联机小屋。于是大家一起种田、按类别摆放物品。有人热爱下矿，有人喜欢钓鱼，有人认真推进度，有人把我们的动物照顾的很好。在某个时候大家集体晕倒在凌晨。我本来一直觉得单机更好玩，可以让我保持自己的节奏。而此时意识到朋友真的是游戏的最高配置。
初时去沙漠的路费都觉得是笔巨款，后来日入几十万，在另一个维度实现财富自由。再后来开了姜岛，各项技能逐渐精通，图鉴收集和完美度不断提升。似乎玩无可玩，游戏里再没什么新目标，但它始终是我的精神乌托邦。
许多个春天从指缝流走，我始终与那座传闻中的谷地隔着一层薄雾。后来一起玩的小团体散掉了，离别地并不愉快。小时候词不达意，长大后言不由衷。一路走来，偶尔贪恋，总在失去。或许有些人事就是会像水消失在水里。也许时间会慢慢把我补起来，只在身上留下一点异样的感觉。
现在，我偶尔还会打开游戏，回到我的单机存档，已经高度自动化的农场，一切井井有条。只是安静。而这份清浅日常里沉淀下的沉重，大概就是怀念本身的形状吧。"
9,好玩！本来刚开始玩不懂所以觉得很无聊就很长一段时间没有玩了，最近看攻略搞懂了目的和玩法又捡起来了，下载了一堆mod 准备装修农舍 老天爷 我不应该是苦逼 我的人生应该是在星露谷当农民 每天种地养鸡钓鱼晚上把今天的收获随手丢箱子里就会有钱 拿着自己辛苦的劳作去见心选哥心选姐 实在觉得累想摆烂就开作弊 直接实现开挂人生 真的是太棒了
10,非常优秀的种田游戏，并不休闲。627的生活，记得凌晨两点前要睡觉，我说的是现实时间。
