游戏名称,国家,发表时间,作者,游戏时长,内容,是否推荐/好评
Stardew Valley,中国,2020-12-10,命里无花,450.8,"这真的是个休闲游戏

你没必要2点睡6点起
没必要在春天拼命钓鲶鱼
没必要疯狂下矿刷洒水器种草莓
没必要第一年五百个桶收入千万
没必要掐着日历生日蹲村民门口送奶酪送钻石
没必要急着开温室刷远古

它只是一个休闲游戏
收完奶酪就睡觉也不是不可以
酿完酒去送人也不是不可以
第四年再结婚也不是不可以

你在星露谷 你不在JOJA 你也不用996
即使你一无所有爷爷也不会责怪你
即使你整天睡觉妈妈也会记得你给你送生日蛋糕
即使你作物都枯萎了你奶奶也依然爱你
即使你错过了谁的生日也没有关系明年还有

这是个休闲游戏
起码对于刚买游戏又怕肝的你来说
它是个休闲游戏
那些极限流玩法是贴吧大手子的作风
我只是
在一天的劳累 学习 作业之后
打开最爱的星露谷
打开我的农场
摸一摸猪 看一看我的恐龙 收一收我的兔子的脚
看着辛勤的蜜蜂 看着鱼塘里跳起的鲟鱼
看看温室里的远古种子成熟了没有
看看我第六年的九十多个小时的第一个档
我没有回城魔杖 我没有收入千万 没有黄金钟
但我也依然很快乐




2024/1/10 朋友给我说我的评论被什么小黑盒py乱七八糟的地方，甚至steam本身都有人抄袭这段评论，还就在我楼下（甚至骗了200多个点数打赏） 可惜他不敢开评论区 蚌埠住了
说实话我当时也没想到随便写的一段话会引起这么多人的共鸣 不过这样也就能让更多人看到 决定入不入手体验游戏的乐趣了
转眼间星露谷马上要更新1.6了 当时姜岛更新回来玩了好久 后来又跑路玩别的去了 游戏本身的内容原价也绝对值得 更别提可以端口穿透局域网联机 以及N网上一大堆mod这些能极大提升游戏寿命的东西惹",推荐
Stardew Valley,中国,2025-07-22,阿麟,158.5,"妈妈，人生要真是星露谷就好了。
随时可以到达的海边，打开信箱就有村民嘘寒问暖的信件，送出礼物就能获得的友谊,付出努力就一定会有收获，失败了也只是掉东西，永远有人愿意回应我，永远有再来的机会，就算什么也不干每天躺在床上评定等级的时候，爷爷也只是希望你远离世俗开开心心。
妈妈，人生要真是星露谷就好了。我不喜欢各种各样的考试，我不喜欢这样活着，每天都像个陀螺一样不停运转。
我想有很多很多朋友，想有疼爱我的长辈，想要美好的爱情。
种下去就能长出来的菜，放进小桶就能酿出的酒；下雨也可以去海滩钓一整天的鱼；砍树也是充实的一天。

妈妈，人生要是星露谷就好了。
当我重新进入游戏，我有绝对的权力掌握自己的人生，我可以开很多副本，像梦一般玩转我的人生，无限延长我的生命。

可是妈妈，人生从来都不是星露谷。

我不会随时随地看见大海。现代人微信上更多是敷衍的信息。爷爷什么也没有留给我，没有郁金香也没有啤酒花。魔法师不会告诉我发财暴富的咒语，我更不是拿着银河剑披荆斩棘的勇士。家里没有菜谱，只有洗不干净的锅碗瓢盆。可爱的小猫不属于我，同性情侣也无法像游戏中一样结婚生子。土地是公家的，金子和钻石都很贵，房价很高，我一样也买不起。

我，普罗大众之一。

我像大多数人一样，相信读书改变命运，然后麻木不仁地坐在电脑前写论文找工作，天亮浑浑噩噩地上班。

世界是矛盾且复杂的，我不再追求那些虚幻的童话结局。渐渐的，我愿意接受生活的苦涩，因为人总得活下去。在这苦涩之中，我逐渐找到了真实的自己。不需要绝对的权力，也不需要开很多副本，只需要勇敢地面对每一个日出日落，真诚地对待每一份情感，成为一个渺小而又坚韧的存在。

最终，在盐粒般粗粝的真实里，我们会尝出属于人类世界独有的甜味。",推荐
Stardew Valley,中国,2024-09-21,379173621,234.3,"农场名字我取为永红农副产品合作社，是为了纪念我的父亲，他生前为了注册合作社费了很大力气，但是却与母亲不幸意外去世，后来国家不支持合作社，为了年迈的爷爷奶奶吃低保我还是忍痛注销掉了，生活总是这样，会一直失去，没想到可以在游戏中实现体验父亲干活的场景，父亲生前种植土豆，靠着做买卖土豆的生意养活家里，所以游戏中最喜欢的东西我也设置为土豆
这款游戏让我感受到了小时候在乡间农场的氛围；那时候虽然很穷却很快乐，每天和父母在一起，他们去地里掏土豆，是啊，贫瘠的土地上不能够种植水稻这些优质农作物，但是却长出了高粱这些适合生活在这片土地上的人使用的农作物，而土豆就是这些贫瘠土地上的主角之一；姥姥那一代打完仗以后来到了山西这片贫瘠的土地安营扎寨，生下了爷爷，爷爷又有了爸爸，世代为农，贫穷但是不快乐，我出生在父亲二十多岁的时候，那时候家里是真穷，父母去地里耕种、收获，大人都去地里，小孩只能呆在家里，家里很冷，我的棉衣好几年没换新的，小孩长得快，棉衣总是短一截，手和脖子只能一直往衣袖里缩，秋天冻到一直流鼻涕，只能用力吸回去，吸不回去就流到嘴里，到后来父亲开始醒悟，做点小买卖，买点农村需要的日用品什么的，我上学的第一个书包和小时候第一次用的牙刷就是在那时候买的，还记得买回来的头天晚上刷牙，当时把刷牙水都喝掉了，妈妈还问我为什么不吐水，我早都喝光了，惹得大家哈哈大笑，家里住的是父母结婚修的窑洞，每天都需要烧火，一到夜里冷的不行，电视隔得很远，就自己弄得小棍子远程关电视，半夜还会有老鼠，那就会一家总动员，把衣服什么的塞到门缝下和柜子的缝下，不能让老鼠跑掉，每次总能抓到；再到后来父亲开始购销村里的葵花籽，买卖进行一部扩大，开始做到别的村，然后就开始去外地，到了外地也几乎就是换个地方的留守儿童，父母经常不在家，我和姐姐一直都是泡面，那时候的泡面5毛钱一袋很硬可以泡着吃、干吃，泡着吃就会把剩下的碎渣直倒嘴里，干吃吃到最后的调料很咸，然后就需要把剩下的方便面倒在手上，左右手一直倒，把调料弄走，剩下不那么咸的一口吃掉，父母春夏回家种地，秋收的时候也会一直忙，在冬天时会回来和我们待一段时间，那时候租房子40块钱一个月一间窑洞，还得看房东脸色，再后来父母开始打工就可以常年在一起，想想还是比留守儿童幸福，身心也会更加健康，但是学习是真不行，每天就是想着玩，体谅不到父母的难处，可能心里也会觉得以后就是回家种地一条路。
在后来父亲开始做土豆生意，就是常年收土豆，然后找到大货主卖出去，这时候家里开始好起来，也能够经常吃到肉，但是还是会由于条件不如别的朋友感觉到自卑，学习依旧是不好，然后就是一直重复，直到高中的时候，父亲由于正值被选为村里的支书，但是好多人由于之前贫穷看不起父亲，就会经常告状，父亲虽然尽心尽力为村里干活，为了给村民多争取救济物品，自己花钱找领导吃饭，却被大家以为是贪污，想来也是可笑，甚至由于村长和书记每年贪污需要做假账，年底的时候发不出来支书一年仅仅6000元的工资，母亲虽然满腹牢骚，但是能够吃公家饭还是农民一辈子的心愿，就算垫子也得继续，后来国家开始大力扶持合作社经济，父亲就把多年积蓄全投入到合作社之中，母亲为此大吵一架，但还是拗不过父亲，但是为了弄厂房，父母在我2016年高考完第一天也就是6月9日急匆匆回家让挖掘机修整厂房，被挖掘机铲后掉下来的图双双埋入，不幸逝世，还记得那天是个大雨天，我和姐姐正在睡觉，我醒后给父亲一直打电话但是一直不通，或许那时候就该想到，那天的雨太大了，以至于没留下什么证据让我去追究，整个人都是懵的，来不及伤心就需要去弄大量的事情，哭得眼睛生疼，每天需要忙葬礼的事情都只能睡三四个小时，血压低到只有40/80，严重低血压，只能站着，因为蹲下站起来就会直接晕倒，葬礼办完后开始要账。农村都是先佘着种子，等秋天收获了卖钱在把买肥料和种子的钱还账，以前父亲从来不会记账，不知道为什么那年开始记录比较详细，由于父亲生前为人正直，所以要账比较顺利，总体来说大家都会给，只有一两家赖账，其中有一个老人说话特别难听还不还钱，去了好几回也没要到，当时太气了。
回过头来有时候事情发生根本来不及伤心，只是会在以后回想起与父母在一起的点点滴滴，会突然感觉到伤感，想她们，想听见他们的声音，想让他们看看自己现在的生活，我的悲欢喜乐都与他们相通，虽然人已经不再，但是生活中的痕迹却让我时常想起，也会想多回顾，生怕忘记他们，因为如果我忘记他们，他们就真的不存在了。现在我也即将成家，我也希望以后能够时常回去看看，给他们讲讲我的故事，我的生活，也希望我的孩子能够知道他们的爷爷奶奶，他们那么爱我，都无法想象会疼我的孩子到什么程度。
行文到此，我也希望这个游戏能够延续父亲母亲生前的活动，让我能够记得他，记得与他相处的时光。",推荐
Stardew Valley,中国,2023-06-22,纯欲俏秘书,345.8,好游戏，第一次玩的时候是疫情期间，姐姐陪我玩儿的，虽然天天会因为不看地图，起步阶段不干活跑出去钓汉子挨骂。现在在医院化疗，又开始玩了，回想起当时的情景，真的很快乐，推荐购买，不管是和朋友还是自己玩，多年后回想起来，当时都会是一段快乐的时光。(因为没法逐一回复，所以统一回复一下，谢谢大家的关心和礼物，我已经康复啦，再次谢谢大家的关爱）,推荐
Stardew Valley,中国,2024-06-22,白马寺见仁,224.2,"人生要真是星露谷就好了…..
随时可以到达的海边，送出礼物就能获得的友谊，付出努力就一定会有收获，失败了也只是掉东西，永远有再来的机会。而且就算什么也不干每天躺在床上，评定等级的时候爷爷也只是希望你开心。
星露谷就像个小小的世外桃源，我躲进去好像就不用面对生活的那些困难了，但我也知道，我不可能呆在桃源一辈子。",推荐
Stardew Valley,中国,2023-06-12,冬人夏草,37.7,经过三十七个小时的游玩，我推测爷爷可能是过劳死。,推荐
Stardew Valley,中国,2025-08-09,叭呐嗱,91.3,我永远记得，大三寒假的时候疫情在家，每天中午12点四个人登上yy开始玩星露谷的时光，带着耳机，门外是父母看电视的声音，时不时还有切好的水果被老妈端进来，妹妹每天写半天寒假作业，然后就会过来看两眼，那是我整个人生人际关系最紧密的时候，身边是最亲密的家人，电脑的那边是最好的朋友，那时候的我什么都不缺。,推荐
Stardew Valley,中国,2024-09-14,拉屎大王,2.0,妈妈 人生要真是星露谷就好了随时可以到达的海边 送出礼物就能获得的友谊 付出努力就一定会有收获 失败了也只是掉东西 永远有再来的机会 而且就算什么也不干每天躺在床上评定等级的时候爷爷也只是希望你开心,推荐
Stardew Valley,中国,2020-04-02,why so serious,405.7,"刚开始玩这个游戏时，也觉得挺好玩的，但是玩的很累，不停查攻略，每个人喜欢什么东西都要记下来，一大早带着每个人的礼物一个个去给他们送，希望他们都喜欢我，开垦很大的地每天一遍遍浇水，浇完水体力已经一大半了，然后接任务，钓鱼挖矿赚钱，日程安排得满满感觉时间都不够。最后玩累了就退坑了。
大概过了几个月时间，偶然看了一些星露谷的文章，也看到其他网友的吐槽。突然感觉，这游戏被我玩得太现实，太利益了。游戏本身是主人公工作辞退，回爷爷的农场感受纯粹的时光，但我却把他当成了第二个职场，去讨好所有人，去拼了命去赚钱，甚至不肯给自己一丁点休闲歇息的时间，为什么要过得这么累呢？即使三年时间什么都不干，爷爷回魂的时候也不会责备你什么，任务完不成也并不会被人记恨，钱多钱少农场里的人不会对你区别对待，随心去玩吧。",推荐
Stardew Valley,中国,2025-02-27,Evan,130.3,"妈妈，人生要真是星露谷就好了，
随时可以到达的海边，
送出礼物就能获得的友谊，
付出努力就一定会有收获，
失败了也只是掉东西，
永远有再来的机会，
而且就算什么也不干每天躺在床上评定等级的时候，
爷爷也只是希望你远离世俗开开心心。
妈妈，人生要真是星露谷就好了，
我想有很多很多朋友，想有疼爱我的长辈。
种下去就能长出来的菜，放进小桶就能酿出的酒，
下雨也可以去海钓一整天的鱼；
砍树也是充实的一天。
妈妈，为什么我一直都只是在小房间里打转呢",推荐
Stardew Valley,中国,2022-01-09,后藤一一里,196.5,很适合休闲放松的小游戏，早上九点小玩一把，玩完刚好早上八点，直接就能吃早饭，不耽误时间很方便,推荐
Stardew Valley,中国,2020-04-01,JKGold,534.4,当大家都在玩动森的时候 贫穷的我又玩起了像素谷,推荐
